Name of Composer,Dates,Nationality,Name of piece,Year,Duration (mins),Instrumentation - Ensemble type (instruments),Recording links,Publisher,Score link,Composer website,Biography,Bio_source
"Trimble, Joan",1915-2000,Irish,The Pool among the Rushes,1940,4,Clarinet and Piano or String Orchestra,https://www.youtube.com/watch?v=K20DyRo3-wc,,https://www.cmc.ie/music/pool-among-rushes,https://www.cmc.ie/composers/joan-trimble,,
"Tulve, Helena",b.1972,Estonian,,,,,,,,http://helenatulve.ee/music.html,,
"Usher, Julia",b.1945,British (English),What is the price of experience?,2001,7,"Soprano, Cello, Clarinet, Flute, Vibraphone",,,,,,
"Van de Vate, Nancy",b.1930,American Austrian,Trio,2013,12,"Clarinet, Viola, Piano",,Nancy Van de Vate,https://nancyvandevate.musicaneo.com/sheetmusic/sm-190601_trio_for_clarinet_viola_and_piano_-_score.html,https://nancyvandevate.musicaneo.com/,,
"Waley-Cohen, Freya",b.1989,British American,,,,,,,,,,
"Wallen, Errollyn",b.1958,British (English),NNENNA,2018,12,"clarinet, bassoon, horn, violin, viola, cello, double bass",,,,,,
"Wallen, Errollyn",b.1958,British (English),Still Lives,1983,,"flute, clarinet vibrapone, cello",,,,,,
"Wallen, Errollyn",b.1958,British (English),Mythologies,1988,,"clarinet, sax, violin, cello, piano, percussion",,,,,,
"Wallen, Errollyn",b.1958,British (English),Skip,2005,,clarinet and piano,,,,,,
"Wallen, Errollyn",b.1958,British (English),gun gun gun,2018,7,"soprano, bass clarinet, harp, double bass",,,,,,
"Wallen, Errollyn",b.1958,British (English),I Hate Waiting,1991,,"Voice, clarinet, sax, trumpet, piano, electric bass/double bass, percussion, tape",,,,,,
"Wallen, Errollyn",b.1958,British (English),Mondrian,1992,,"flute, oboe, clarinet, bass clarinet/sax, bassoon, horn, trumpet, piano, 2 violins, viola, cello, double bass",,,,,,
"Wallen, Errollyn",b.1958,British (English),Having Gathered His Cohorts,1991,,"Baritone, 2 clarinets",,,,,,
"Wallen, Errollyn",b.1958,British (English),Gastarbeiter,1994,,"Mezzo soprano, clarinet, viola, double bass, percussion",,,,,,
"Wallen, Errollyn",b.1958,British (English),Fairy Scary,2005,,"voice, clarinet/bass clarinet, cello, piano",,,,,,
"Wasserman, Eva",b.0000,Israeli American,The Generation of Hope,1994,4,Solo Clarinet,,,,,,
"Wasserman, Eva",b.0000,Israeli American,Ode to Odessa,2001,,Solo Clarinet,,,,,,
"Weir, Judith",b.1954,British (Scottish/English),Sketches from a Bagpiper's Album,1984,9,"Clarinet and Piano (or Soprano Saxophone, Eb Clarinet, Basset Horn and Piano)",,Novello & Co Ltd,https://www.wisemusicclassical.com/work/2757/Sketches-from-a-Bagpipers-Album--Judith-Weir/,https://www.judithweir.com/,"Judith Weir was born into a Scottish family in 1954, but grew up near London. She was an oboe player, performing with the National Youth Orchestra of Great Britain, and studied composition with John Tavener during her schooldays. She went on to Cambridge University, where her composition teacher was Robin Holloway; and in 1975 attended summer school at Tanglewood, where she worked with Gunther Schuller. After this she spent several years working in schools and adult education in rural southern England; followed by a period based in Scotland, teaching at Glasgow University and the Royal Conservatoire of Scotland.
 
During this time she began to write a series of operas (including King Harald’s Saga, The Black Spider, A Night at the Chinese Opera, The Vanishing Bridegroom and Blond Eckbert) which have subsequently received many performances in the UK, Germany, Austria, the Netherlands, Belgium and the USA. The most recent opera is Miss Fortune, premiered at Bregenz in 2011, and then staged at the Royal Opera House Covent Garden in 2012. In collaboration with director Margaret Williams, Weir has created several opera films, including Scipio’s Dream, Hello Dolly, and Armida.

As resident composer with the City of Birmingham Symphony Orchestra in the 1990s, she wrote several works for orchestra and chorus (including Forest, Storm and We are Shadows) which were premiered by the orchestra’s then Music Director, Simon Rattle. She has been commissioned by the Boston Symphony Orchestra (Music Untangled and Natural History) the Minnesota Orchestra (The Welcome Arrival of Rain) and the London Sinfonietta (Tiger under the Table); and has written concert works for some notable singers, including Jane Manning, Jessye Norman, Dawn Upshaw, Alice Coote, Ailish Tynan and Ruby Hughes. She has composed Concertos for Piano (William Howard) and Oboe (Celia Craig).

In recent years, Judith Weir has considerably expanded her choral catalogue, with regular performance by choirs worldwide of music such as her Christmas carol Illuminare, Jerusalem written for Stephen Cleobury and the choir of King’s College Cambridge. As associate composer with the BBC Singers (2015-19) she completed two oratorios; In the Land of Uz, about the prophet Job; and blue hills beyond blue hills, to Zen-influenced verse by the Scottish poet Alan Spence.

Now based in London, she has had a long association with Spitalfields Music Festival; and has taught as a visiting professor at Princeton, Harvard and Cardiff universities. Honours for her work include the Critics’ Circle, South Bank Show, Ivor Novello and Elise L Stoeger awards, a CBE and The Queen’s Medal for Music.

In July 2014 Judith Weir was appointed to the 395-year old royal post of Master of the Queen’s Music, in succession to Sir Peter Maxwell Davies. Amongst her priorities in this role are the support of school music teachers, of amateur orchestras and choirs, and of rural festivals. In this role she has written music for national and royal occasions, including the Queen’s 90th birthday celebrations and the UK’s official commemoration of the 1918 Armistice. She has also created new music for many community groups and schools, including Burntwood School Wandsworth, Aberdeen Art Gallery, St Mary’s Church Dover and Greenacre School, Barnsley.
 
Judith Weir’s music has been widely recorded, particularly on the NMC and Delphian labels; and is published by Chester Music and Novello & Co.",https://www.judithweir.com/about
"Weir, Judith",b.1954,British (Scottish/English),Airs from Another Planet,1986,12,"Wind sextet (flute/piccolo, oboe, clarinet, bassoon, horn, piano)",,Novello & Co Ltd,https://www.wisemusicclassical.com/work/2723/Airs-from-Another-Planet--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),Mountain Airs ,1988,5,"Wind trio (flute, oboe, clarinet)",,Chester Music,https://www.wisemusicclassical.com/work/2744/Mountain-Airs--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),A Few Words of Thanks,2016,1.5,"flute, oboe, clarinet, viola, cello",,Chester Music,https://www.wisemusicclassical.com/work/56762/A-few-words-of-thanks--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),Blue-Green Hill,2013,12,"flute, clarinet, violin, cello, piano",,Chester Music,https://www.wisemusicclassical.com/work/48148/Blue-Green-Hill--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),Musicians Wrestle Everywhere,1994,13,"flute, oboe, clarinet, bass clarinet, horn, trombone, percussion, piano, cello, double bass",,Chester Music,https://www.wisemusicclassical.com/work/2746/Musicians-Wrestle-Everywhere--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),The Romance of Count Arnaldos,1989,3,"soprano, 2 clarinets, viola, cello, double bass",,Chester Music,https://www.wisemusicclassical.com/work/2753/The-Romance-of-Count-Arnaldos--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),Sederunt Principles,1987,10,"flute, oboe, 2 clarinets, bassoon, french horn, trombone, harp, 3 violins, 2 violas, percussion, piano, xylophone, harp",,Chester Music,https://www.wisemusicclassical.com/work/2755/Sederunt-Principes--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),The Striker,1994,18,"3 clarinets(inc bass clarinet/saxophones), keyboard",,Chester Music,https://www.wisemusicclassical.com/work/12753/The-Skriker--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),Tiger Under the Table,2002,15,"flute/piccolo, oboe, clarinet, bassoon, horn, trumpet, trombone, percussion, piano, 2 violins, viola, cello, double bass",,Chester Music,https://www.wisemusicclassical.com/work/13533/Tiger-under-the-Table--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),Really?,2002,9,"soprano, clarinet, viola, harp",,Chester Music,https://www.wisemusicclassical.com/work/13758/Really--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),The Alps,1992,3,"soprano, clarinet, viola ",,Chester Music,https://www.wisemusicclassical.com/work/12755/The-Alps--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),What's in the Lake?,2012,3,"Eb clarinet, contrabassoon, horn, 2 percussion, violin, viola, 2 cellos",,Chester Music,https://www.wisemusicclassical.com/work/47495/Whats-in-the-Lake--Judith-Weir/,https://www.judithweir.com/,,
"Weir, Judith",b.1954,British (Scottish/English),Three Interludes,2008,6,Clarinet Quintet (Clarinet and String Quartet),,Chester Music,https://www.stretta-music.com/weir-three-interludes-nr-934943.html,https://www.judithweir.com/,,
"Williams, Grace",1906-1977,British (Welsh),Suite for Nine Instruments,1934,13.5,"Flute, Clarinet, Trumpet, Piano, 2 Violins, Viola, Cello, Bass",https://open.spotify.com/album/7m6vL9ZbEDAmxEB7uACVyN?si=VYoC44K2RTGiwxFjVEQgQA,,,https://gracemarywilliams.wixsite.com/officialwebsite/home,,
"Williams, Grace",1906-1977,British (Welsh),Rhapsody for Two Clarinets,1939,,2 Clarinets,,Oriana Publications,https://www.orianapublications.co.uk/product-page/grace-williams-rhapsody-for-two-clarinets,https://gracemarywilliams.wixsite.com/officialwebsite/home,,
"Williams, Grace",1906-1977,British (Welsh),Romanza for Oboe and Clarinet,1940,2,Oboe and Bass Clarinet,https://open.spotify.com/track/2nDHnfwDXcNMerrA7J9TG4?si=42aa605964984a8a,,,https://gracemarywilliams.wixsite.com/officialwebsite/home,,
"Yi, Chen",b.1953,Chinese American,Chinese Ancient Dances,2004,,Clarinet and Piano,,,,,,
"Yi, Chen",b.1953,Chinese American,Monologue (Impressions on 'The True Story of Ah Q'),1993,,Solo Clarinet,,,,,,
"Yi, Chen",b.1953,Chinese American,... as like a raging fire...,2001,,"Flute, Clarinet, Violin, Cello, Piano",,,,,,
"Yi, Chen",b.1953,Chinese American,Feng (Woodwind Quintet No. 2),1998,,Wind Quintet,,,,,,
"Yi, Chen",b.1953,Chinese American,The Han Figurines,2006,,"Clarinet, Tenor Saxophone, Violin, Double Bass, Piano, Percussion",,,,,,
"Yi, Chen",b.1953,Chinese American,Happy Rain in Spring Night,2004,,"Flute, Clarinet/Bass Clarinet, Violin, Cello, Piano",,,,,,
"Yi, Chen",b.1953,Chinese American,Near Distance,1988,,"Flute, Clarinet, Violin, Cello, Piano, Percussion",,,,,,
"Yi, Chen",b.1953,Chinese American,Wu Yu,2001,,"Flute, Clarinet/Bass Clarinet, Bassoon, Violin, Cello, Percussion",,,,,,
"Yi, Chen",b.1953,Chinese American,Woodwind Quintet No. 1,1987,,Wind Quintet,,,,,,
"Yi, Chen",b.1953,Chinese American,Sparkle,1992,,"Flute, Clarinet/Eb Clarinet, Violin, Cello, Double Bass, Piano, Percussion",,,,,,
"Yi, Chen",b.1953,Chinese American,Woodwind Quintet No. 3,2008,,Wind Quintet,,,,,,
"Yi, Chen",b.1953,Chinese American,Three Bagatelles from China West,2009,,Clarinet (or Eb Clarinet) and Piano OR Flute and Clarinet,,,,,,
"Zwilich, Ellen Taaffe",b.1939,American,Quintet,1990,18,"Clarinet, 2 Violins, Viola, Cello",Naxos,Schott,,https://www.zwilich.com/,,
"Zwilich, Ellen Taaffe",b.1939,American,Divertimento,1983,12,"Flute, Clarinet, Violin, Cello",https://www.youtube.com/watch?v=18-J3ZfO79M,Mobart Music Publications,,https://www.zwilich.com/,,
